date,account,trades_count,net_pnl,avg_pnl,total_volume,profitable_trades,win_rate,profitable_day,value,classification,sentiment_numeric
2024-07-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,21,188.7893,8.99,1992.73,10,0.47619047619047616,1,28.0,Fear,1.0
2024-07-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,21,0.0,0.0,219984.65,0,0.0,0,28.0,Fear,1.0
2024-07-11,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,16,503.4626,31.4664,30868.5,11,0.6875,1,29.0,Fear,1.0
2024-07-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,2,628.9625,314.4812,60628.85,1,0.5,1,29.0,Fear,1.0
2024-07-11,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,95,3360.9281,35.3782,19837.95,48,0.5052631578947369,1,29.0,Fear,1.0
2024-07-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,26,3515.0311,135.1935,52028.63,25,0.9615384615384616,1,25.0,Fear,1.0
2024-07-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,86,4008.012,46.6048,13732.33,36,0.4186046511627907,1,25.0,Fear,1.0
2024-07-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,180,1040.6169,5.7812,104429.77,63,0.35,1,25.0,Fear,1.0
2024-07-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,4,2342.9964,585.7491,198481.45,4,1.0,1,25.0,Fear,1.0
2024-07-12,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,3,0.0,0.0,3063.89,0,0.0,0,25.0,Fear,1.0
